bus_factor.Time,bus_factor,bus_factor.name
2022-05-01,245.0,antdesign_antdesign
2022-05-01,73.0,apache_airflow
2022-05-01,24.0,apache_apisix
2022-05-01,23.0,apache_arrow
2022-05-01,27.0,apache_beam
2022-05-01,26.0,apache_dolphinscheduler
2022-05-01,31.0,apache_doris
2022-05-01,38.0,apache_flink
2022-05-01,33.0,apache_hudi
2022-05-01,21.0,apache_iceberg
2022-05-01,30.0,apache_pulsar
2022-05-01,26.0,apache_shardingsphere
2022-05-01,26.0,apache_spark
2022-05-01,57.0,apache_superset
2022-05-01,42.0,apache_tvm
2022-05-01,36.0,apple_swift
2022-05-01,41.0,appsmithorg_appsmith
2022-05-01,6.0,archwaynetwork_testnets
2022-05-01,31.0,ArduPilot_ardupilot
2022-05-01,164.0,argoproj_argocd
2022-05-01,29.0,Automattic_jetpack
2022-05-01,81.0,Automattic_wpcalypso
2022-05-01,234.0,aws_awscdk
2022-05-01,118.0,awsamplify_amplifycli
2022-05-01,17.0,azerothcore_azerothcorewotlk
2022-05-01,324.0,Azure_azurecli
2022-05-01,61.0,Azure_azurepowershell
2022-05-01,104.0,Azure_azurerestapispecs
2022-05-01,27.0,Azure_azuresdkforjava
2022-05-01,24.0,Azure_azuresdkforjs
2022-05-01,104.0,Azure_azuresdkfornet
2022-05-01,31.0,Azure_azuresdkforpython
2022-05-01,62.0,backstage_backstage
2022-05-01,26.0,bevyengine_bevy
2022-05-01,111.0,bioconda_biocondarecipes
2022-05-01,34.0,bitcoin_bitcoin
2022-05-01,108.0,bitnami_charts
2022-05-01,216.0,brave_bravebrowser
2022-05-01,22.0,brave_bravecore
2022-05-01,51.0,ccxt_ccxt
2022-05-01,42.0,ceph_ceph
2022-05-01,30.0,ChiaNetwork_chiablockchain
2022-05-01,29.0,cilium_cilium
2022-05-01,57.0,CleverRaven_CataclysmDDA
2022-05-01,59.0,ClickHouse_ClickHouse
2022-05-01,41.0,cloudflare_cloudflaredocs
2022-05-01,39.0,cmssw_cmssw
2022-05-01,43.0,cockroachdb_cockroach
2022-05-01,40.0,conanio_conancenterindex
