issue_comments.Time,issue_comments,issue_comments.name
2015-04-01,2.0,qmk_qmk_firmware
2015-04-01,1505.0,rails_rails
2015-04-01,561.0,rancher_rancher
2015-04-01,1090.0,rapid7_metasploitframework
2015-04-01,200.0,redis_redis
2015-04-01,164.0,RPCS3_rpcs3
2015-04-01,94.0,rstudio_rstudio
2015-04-01,6949.0,rustlang_rust
2015-04-01,1547.0,scikitlearn_scikitlearn
2015-04-01,743.0,scipy_scipy
2015-04-01,20.0,spack_spack
2015-04-01,1216.0,spyderide_spyder
2015-04-01,2021.0,symfony_symfony
2015-04-01,3252.0,tgstation_tgstation
2015-04-01,375.0,webcompat_webbugs
2015-04-01,567.0,woocommerce_woocommerce
2015-04-01,1486.0,xbmc_xbmc
2015-05-01,147.0,AdguardTeam_AdguardFilters
2015-05-01,1652.0,angular_angular
2015-05-01,43.0,ankidroid_AnkiAndroid
2015-05-01,753.0,ansible_ansible
2015-05-01,456.0,apache_flink
2015-05-01,16833.0,apache_spark
2015-05-01,626.0,ArduPilot_ardupilot
2015-05-01,410.0,Automattic_jetpack
2015-05-01,183.0,Azure_azurepowershell
2015-05-01,17.0,Azure_azuresdkforjava
2015-05-01,117.0,Azure_azuresdkfornet
2015-05-01,44.0,Azure_azuresdkforpython
2015-05-01,1033.0,bitcoin_bitcoin
2015-05-01,1851.0,ceph_ceph
2015-05-01,1298.0,CleverRaven_CataclysmDDA
2015-05-01,5618.0,cmssw_cmssw
2015-05-01,1003.0,cockroachdb_cockroach
2015-05-01,4.0,cypressio_cypress
2015-05-01,49.0,darktableorg_darktable
2015-05-01,570.0,DefinitelyTyped_DefinitelyTyped
2015-05-01,25.0,directus_directus
2015-05-01,584.0,dotnet_aspnetcore
2015-05-01,236.0,dotnet_AspNetCore.Docs
2015-05-01,5.0,dotnet_docs
2015-05-01,811.0,dotnet_efcore
2015-05-01,3118.0,dotnet_roslyn
2015-05-01,2111.0,elastic_elasticsearch
2015-05-01,937.0,elastic_kibana
2015-05-01,1013.0,electron_electron
2015-05-01,864.0,facebook_react
2015-05-01,2256.0,facebook_reactnative
2015-05-01,53.0,flutter_flutter
2015-05-01,139.0,getsentry_sentry
2015-05-01,746.0,godotengine_godot
2015-05-01,1361.0,golang_go
2015-05-01,71.0,gradle_gradle
2015-05-01,700.0,grafana_grafana
2015-05-01,935.0,grpc_grpc
2015-05-01,467.0,hashicorp_vault
2015-05-01,159.0,homeassistant_core
2015-05-01,7.0,homeassistant_homeassistant.io
2015-05-01,593.0,Homebrew_homebrewcask
2015-05-01,129.0,JetBrains_swot
2015-05-01,53.0,jitsi_jitsimeet
2015-05-01,209.0,jlord_patchwork
2015-05-01,1864.0,joomla_joomlacms
2015-05-01,4570.0,JuliaLang_julia
2015-05-01,51.0,keycloak_keycloak
2015-05-01,9014.0,kubernetes_kubernetes
2015-05-01,1257.0,laravel_framework
2015-05-01,431.0,magento_magento2
2015-05-01,1866.0,MarlinFirmware_Marlin
2015-05-01,456.0,matplotlib_matplotlib
2015-05-01,43.0,matrixorg_synapse
2015-05-01,1858.0,microsoft_TypeScript
2015-05-01,686.0,mrdoob_three.js
2015-05-01,333.0,mui_materialui
2015-05-01,1888.0,neovim_neovim
2015-05-01,1672.0,NixOS_nixpkgs
2015-05-01,3215.0,nodejs_node
2015-05-01,15.0,obsproject_obsstudio
2015-05-01,795.0,odoo_odoo
2015-05-01,271.0,opencv_opencv
2015-05-01,507.0,openhab_openhabaddons
2015-05-01,308.0,openshift_openshiftdocs
2015-05-01,93.0,openssl_openssl
2015-05-01,1321.0,pandasdev_pandas
2015-05-01,259.0,php_phpsrc
2015-05-01,162.0,postmanlabs_postmanappsupport
2015-05-01,132.0,PrestaShop_PrestaShop
2015-05-01,1056.0,qbittorrent_qBittorrent
2015-05-01,273.0,qgis_QGIS
2015-05-01,1341.0,rails_rails
2015-05-01,541.0,rancher_rancher
2015-05-01,853.0,rapid7_metasploitframework
2015-05-01,144.0,redis_redis
2015-05-01,39.0,RocketChat_Rocket.Chat
2015-05-01,140.0,RPCS3_rpcs3
2015-05-01,73.0,rstudio_rstudio
2015-05-01,5479.0,rustlang_rust
2015-05-01,1247.0,scikitlearn_scikitlearn
2015-05-01,836.0,scipy_scipy
2015-05-01,13.0,spack_spack
2015-05-01,711.0,spyderide_spyder
2015-05-01,1464.0,symfony_symfony
2015-05-01,2472.0,tgstation_tgstation
2015-05-01,24.0,Ultimaker_Cura
2015-05-01,475.0,webcompat_webbugs
2015-05-01,424.0,woocommerce_woocommerce
2015-05-01,1563.0,xbmc_xbmc
