participants.Time,participants.name,participants
2015-05-01,RPCS3_rpcs3,19.0
2015-05-01,rstudio_rstudio,11.0
2015-05-01,rustlang_rust,532.0
2015-05-01,scikitlearn_scikitlearn,114.0
2015-05-01,scipy_scipy,101.0
2015-05-01,spack_spack,5.0
2015-05-01,spyderide_spyder,57.0
2015-05-01,symfony_symfony,280.0
2015-05-01,systemd_systemd,1.0
2015-05-01,tgstation_tgstation,150.0
2015-05-01,Ultimaker_Cura,10.0
2015-05-01,webcompat_webbugs,43.0
2015-05-01,woocommerce_woocommerce,172.0
2015-05-01,xbmc_xbmc,100.0
2015-06-01,AdguardTeam_AdguardFilters,3.0
2015-06-01,angular_angular,166.0
2015-06-01,ankidroid_AnkiAndroid,10.0
2015-06-01,ansible_ansible,404.0
2015-06-01,antdesign_antdesign,7.0
2015-06-01,apache_airflow,34.0
2015-06-01,apache_flink,51.0
2015-06-01,apache_spark,275.0
2015-06-01,ArduPilot_ardupilot,92.0
2015-06-01,Automattic_jetpack,85.0
2015-06-01,Azure_azurepowershell,102.0
2015-06-01,Azure_azuresdkforjava,12.0
2015-06-01,Azure_azuresdkfornet,50.0
2015-06-01,Azure_azuresdkforpython,17.0
2015-06-01,bitcoin_bitcoin,116.0
2015-06-01,ceph_ceph,98.0
2015-06-01,CleverRaven_CataclysmDDA,104.0
2015-06-01,cmssw_cmssw,167.0
2015-06-01,cockroachdb_cockroach,29.0
2015-06-01,cypressio_cypress,3.0
2015-06-01,darktableorg_darktable,15.0
2015-06-01,DefinitelyTyped_DefinitelyTyped,260.0
2015-06-01,directus_directus,2.0
2015-06-01,dotnet_aspnetcore,107.0
2015-06-01,dotnet_AspNetCore.Docs,32.0
2015-06-01,dotnet_docs,5.0
2015-06-01,dotnet_efcore,108.0
2015-06-01,dotnet_roslyn,224.0
2015-06-01,elastic_elasticsearch,362.0
2015-06-01,elastic_kibana,344.0
2015-06-01,electron_electron,237.0
2015-06-01,facebook_react,311.0
2015-06-01,facebook_reactnative,321.0
2015-06-01,flutter_flutter,4.0
2015-06-01,gatsbyjs_gatsby,1.0
2015-06-01,getsentry_sentry,42.0
2015-06-01,godotengine_godot,121.0
2015-06-01,golang_go,298.0
2015-06-01,gradle_gradle,14.0
2015-06-01,grafana_grafana,221.0
2015-06-01,grpc_grpc,55.0
2015-06-01,hashicorp_vault,65.0
2015-06-01,homeassistant_core,19.0
2015-06-01,homeassistant_homeassistant.io,2.0
2015-06-01,Homebrew_homebrewcask,267.0
2015-06-01,influxdata_telegraf,27.0
2015-06-01,JetBrains_swot,80.0
2015-06-01,jitsi_jitsimeet,27.0
2015-06-01,jlord_patchwork,479.0
2015-06-01,joomla_joomlacms,179.0
2015-06-01,JuliaLang_julia,215.0
2015-06-01,keycloak_keycloak,19.0
2015-06-01,kubernetes_kubernetes,381.0
2015-06-01,laravel_framework,434.0
2015-06-01,magento_magento2,128.0
2015-06-01,MarlinFirmware_Marlin,102.0
2015-06-01,matplotlib_matplotlib,99.0
2015-06-01,matrixorg_synapse,7.0
2015-06-01,microsoft_TypeScript,293.0
2015-06-01,mrdoob_three.js,137.0
2015-06-01,mui_materialui,185.0
2015-06-01,neovim_neovim,130.0
2015-06-01,NixOS_nixpkgs,218.0
2015-06-01,nodejs_node,198.0
2015-06-01,obsproject_obsstudio,14.0
2015-06-01,odoo_odoo,358.0
2015-06-01,opencv_opencv,58.0
2015-06-01,openhab_openhabaddons,25.0
2015-06-01,openshift_openshiftdocs,57.0
2015-06-01,openssl_openssl,26.0
2015-06-01,pandasdev_pandas,172.0
2015-06-01,php_phpsrc,65.0
2015-06-01,postmanlabs_postmanappsupport,162.0
2015-06-01,PrestaShop_PrestaShop,62.0
2015-06-01,qbittorrent_qBittorrent,196.0
2015-06-01,qgis_QGIS,43.0
2015-06-01,qmk_qmk_firmware,5.0
2015-06-01,rails_rails,456.0
2015-06-01,rancher_rancher,89.0
2015-06-01,rapid7_metasploitframework,87.0
2015-06-01,redis_redis,82.0
2015-06-01,RocketChat_Rocket.Chat,71.0
2015-06-01,RPCS3_rpcs3,22.0
2015-06-01,rstudio_rstudio,6.0
2015-06-01,rustlang_rust,377.0
2015-06-01,scikitlearn_scikitlearn,116.0
2015-06-01,scipy_scipy,99.0
2015-06-01,spack_spack,10.0
2015-06-01,spyderide_spyder,60.0
2015-06-01,symfony_symfony,335.0
2015-06-01,systemd_systemd,135.0
2015-06-01,tgstation_tgstation,183.0
2015-06-01,Ultimaker_Cura,24.0
2015-06-01,webcompat_webbugs,48.0
2015-06-01,woocommerce_woocommerce,175.0
2015-06-01,xbmc_xbmc,98.0
2015-07-01,AdguardTeam_AdguardFilters,5.0
2015-07-01,angular_angular,186.0
2015-07-01,ankidroid_AnkiAndroid,17.0
2015-07-01,ansible_ansible,472.0
2015-07-01,antdesign_antdesign,28.0
2015-07-01,apache_airflow,42.0
2015-07-01,apache_flink,49.0
2015-07-01,apache_spark,270.0
2015-07-01,apache_superset,3.0
2015-07-01,ArduPilot_ardupilot,95.0
2015-07-01,Automattic_jetpack,85.0
2015-07-01,Azure_azurepowershell,100.0
2015-07-01,Azure_azuresdkforjava,10.0
2015-07-01,Azure_azuresdkfornet,62.0
2015-07-01,Azure_azuresdkforpython,13.0
2015-07-01,bitcoin_bitcoin,150.0
2015-07-01,ceph_ceph,84.0
2015-07-01,CleverRaven_CataclysmDDA,95.0
2015-07-01,cmssw_cmssw,148.0
2015-07-01,cockroachdb_cockroach,31.0
2015-07-01,cypressio_cypress,3.0
2015-07-01,darktableorg_darktable,27.0
2015-07-01,DefinitelyTyped_DefinitelyTyped,325.0
2015-07-01,directus_directus,3.0
2015-07-01,dotnet_aspnetcore,132.0
2015-07-01,dotnet_AspNetCore.Docs,44.0
2015-07-01,dotnet_docs,4.0
2015-07-01,dotnet_efcore,131.0
2015-07-01,dotnet_roslyn,236.0
2015-07-01,elastic_elasticsearch,334.0
2015-07-01,elastic_kibana,364.0
2015-07-01,electron_electron,263.0
2015-07-01,facebook_react,310.0
2015-07-01,facebook_reactnative,352.0
2015-07-01,flutter_engine,38.0
2015-07-01,flutter_flutter,5.0
2015-07-01,gatsbyjs_gatsby,4.0
2015-07-01,getsentry_sentry,48.0
2015-07-01,godotengine_godot,93.0
2015-07-01,golang_go,369.0
2015-07-01,gradle_gradle,27.0
2015-07-01,grafana_grafana,211.0
2015-07-01,grpc_grpc,65.0
2015-07-01,hashicorp_vault,66.0
2015-07-01,homeassistant_core,18.0
2015-07-01,homeassistant_frontend,3.0
2015-07-01,homeassistant_homeassistant.io,3.0
2015-07-01,Homebrew_homebrewcask,261.0
2015-07-01,influxdata_telegraf,46.0
2015-07-01,JetBrains_swot,68.0
2015-07-01,jitsi_jitsimeet,14.0
2015-07-01,jlord_patchwork,454.0
2015-07-01,joomla_joomlacms,211.0
2015-07-01,JuliaLang_julia,204.0
2015-07-01,keycloak_keycloak,20.0
2015-07-01,kubernetes_kubernetes,420.0
2015-07-01,laravel_framework,400.0
2015-07-01,magento_magento2,174.0
2015-07-01,MarlinFirmware_Marlin,120.0
2015-07-01,matplotlib_matplotlib,164.0
2015-07-01,matrixorg_synapse,8.0
2015-07-01,microsoft_TypeScript,337.0
2015-07-01,mrdoob_three.js,148.0
2015-07-01,mui_materialui,220.0
2015-07-01,neovim_neovim,163.0
2015-07-01,NixOS_nixpkgs,220.0
2015-07-01,nodejs_node,168.0
2015-07-01,obsproject_obsstudio,20.0
2015-07-01,odoo_odoo,306.0
2015-07-01,opencv_opencv,71.0
2015-07-01,openhab_openhabaddons,26.0
2015-07-01,openshift_openshiftdocs,69.0
2015-07-01,openssl_openssl,38.0
2015-07-01,pandasdev_pandas,179.0
2015-07-01,php_phpsrc,63.0
2015-07-01,postmanlabs_postmanappsupport,199.0
2015-07-01,ppy_osu,1.0
2015-07-01,PrestaShop_PrestaShop,70.0
2015-07-01,qbittorrent_qBittorrent,220.0
2015-07-01,qgis_QGIS,28.0
2015-07-01,qmk_qmk_firmware,3.0
2015-07-01,rails_rails,415.0
2015-07-01,rancher_rancher,107.0
2015-07-01,rapid7_metasploitframework,82.0
2015-07-01,redis_redis,97.0
2015-07-01,RocketChat_Rocket.Chat,52.0
2015-07-01,RPCS3_rpcs3,24.0
2015-07-01,rstudio_rstudio,6.0
2015-07-01,rustlang_rust,346.0
2015-07-01,scikitlearn_scikitlearn,150.0
2015-07-01,scipy_scipy,97.0
2015-07-01,spack_spack,9.0
2015-07-01,spyderide_spyder,64.0
2015-07-01,symfony_symfony,326.0
2015-07-01,systemd_systemd,234.0
2015-07-01,termux_termuxpackages,3.0
2015-07-01,tgstation_tgstation,174.0
2015-07-01,Ultimaker_Cura,95.0
2015-07-01,webcompat_webbugs,56.0
2015-07-01,woocommerce_woocommerce,174.0
2015-07-01,xbmc_xbmc,96.0
2015-08-01,AdguardTeam_AdguardFilters,6.0
2015-08-01,angular_angular,209.0
2015-08-01,ankidroid_AnkiAndroid,33.0
2015-08-01,ansible_ansible,397.0
2015-08-01,antdesign_antdesign,71.0
2015-08-01,apache_airflow,56.0
2015-08-01,apache_flink,54.0
2015-08-01,apache_spark,258.0
2015-08-01,apache_superset,4.0
2015-08-01,ArduPilot_ardupilot,93.0
2015-08-01,Automattic_jetpack,97.0
2015-08-01,Azure_azurepowershell,92.0
2015-08-01,Azure_azurerestapispecs,13.0
2015-08-01,Azure_azuresdkforjava,20.0
2015-08-01,Azure_azuresdkfornet,45.0
2015-08-01,Azure_azuresdkforpython,14.0
2015-08-01,bitcoin_bitcoin,130.0
2015-08-01,ceph_ceph,94.0
2015-08-01,CleverRaven_CataclysmDDA,90.0
2015-08-01,cmssw_cmssw,147.0
2015-08-01,cockroachdb_cockroach,38.0
2015-08-01,cypressio_cypress,2.0
2015-08-01,darktableorg_darktable,22.0
2015-08-01,DefinitelyTyped_DefinitelyTyped,337.0
2015-08-01,directus_directus,6.0
2015-08-01,dotnet_aspnetcore,134.0
2015-08-01,dotnet_AspNetCore.Docs,45.0
2015-08-01,dotnet_docs,3.0
2015-08-01,dotnet_efcore,121.0
2015-08-01,dotnet_roslyn,289.0
