stars.Time,stars.name,stars
2015-04-01,keycloak_keycloak,19.0
2015-04-01,kubernetes_kubernetes,638.0
2015-04-01,laravel_framework,152.0
2015-04-01,magento_magento2,87.0
2015-04-01,MarlinFirmware_Marlin,65.0
2015-04-01,matplotlib_matplotlib,98.0
2015-04-01,matrixorg_synapse,16.0
2015-04-01,microsoft_TypeScript,595.0
2015-04-01,mrdoob_three.js,514.0
2015-04-01,mui_materialui,586.0
2015-04-01,neovim_neovim,587.0
2015-04-01,NixOS_nixpkgs,46.0
2015-04-01,nodejs_node,564.0
2015-04-01,obsproject_obsstudio,100.0
2015-04-01,odoo_odoo,135.0
2015-04-01,opencv_opencv,341.0
2015-04-01,openhab_openhabaddons,10.0
2015-04-01,openssl_openssl,80.0
2015-04-01,pandasdev_pandas,140.0
2015-04-01,php_phpsrc,170.0
2015-04-01,postmanlabs_postmanappsupport,78.0
2015-04-01,PrestaShop_PrestaShop,52.0
2015-04-01,qbittorrent_qBittorrent,60.0
2015-04-01,qgis_QGIS,25.0
2015-04-01,rails_rails,533.0
2015-04-01,rancher_rancher,138.0
2015-04-01,rapid7_metasploitframework,192.0
2015-04-01,redis_redis,533.0
2015-04-01,RPCS3_rpcs3,40.0
2015-04-01,rstudio_rstudio,33.0
2015-04-01,rustlang_rust,724.0
2015-04-01,scikitlearn_scikitlearn,439.0
2015-04-01,scipy_scipy,45.0
2015-04-01,spack_spack,3.0
2015-04-01,spyderide_spyder,85.0
2015-04-01,symfony_symfony,244.0
2015-04-01,systemd_systemd,3.0
2015-04-01,tgstation_tgstation,8.0
2015-04-01,webcompat_webbugs,7.0
2015-04-01,woocommerce_woocommerce,72.0
2015-04-01,xbmc_xbmc,72.0
2015-05-01,angular_angular,614.0
2015-05-01,ankidroid_AnkiAndroid,17.0
2015-05-01,ansible_ansible,478.0
2015-05-01,antdesign_antdesign,6.0
2015-05-01,apache_flink,51.0
2015-05-01,apache_spark,386.0
2015-05-01,ArduPilot_ardupilot,86.0
2015-05-01,Automattic_jetpack,15.0
2015-05-01,Azure_azurepowershell,26.0
2015-05-01,Azure_azuresdkforjava,4.0
2015-05-01,Azure_azuresdkfornet,11.0
2015-05-01,Azure_azuresdkforpython,7.0
2015-05-01,bitcoin_bitcoin,177.0
2015-05-01,ceph_ceph,65.0
2015-05-01,CleverRaven_CataclysmDDA,21.0
2015-05-01,cmssw_cmssw,16.0
2015-05-01,cockroachdb_cockroach,129.0
2015-05-01,cypressio_cypress,11.0
2015-05-01,darktableorg_darktable,11.0
2015-05-01,DefinitelyTyped_DefinitelyTyped,351.0
2015-05-01,directus_directus,8.0
2015-05-01,dotnet_aspnetcore,305.0
2015-05-01,dotnet_AspNetCore.Docs,62.0
2015-05-01,dotnet_docs,5.0
2015-05-01,dotnet_efcore,180.0
2015-05-01,dotnet_roslyn,335.0
2015-05-01,elastic_elasticsearch,430.0
2015-05-01,elastic_kibana,164.0
2015-05-01,electron_electron,2745.0
2015-05-01,facebook_react,1657.0
2015-05-01,facebook_reactnative,1172.0
2015-05-01,flutter_flutter,1918.0
